transaction_id,customer_id,product_id,date,quantity,unit_price_usd,discount_pct,revenue_usd,cost_usd,profit_usd,shipping_cost_usd,channel,payment_method,status,country,category
TXN000001,CUST05879,PROD0230,2023-05-15,1,21.66,0.0,21.66,13.0,8.66,7.24,organic_search,paypal,completed,UK,Home & Kitchen
TXN000002,CUST00461,PROD0055,2022-08-21,1,188.93,0.0,188.93,85.02,103.91,13.66,social_media,credit_card,completed,USA,Clothing
TXN000003,CUST03473,PROD0353,2023-08-28,5,202.21,0.0,1011.05,606.65,404.4,108.68,direct,paypal,completed,France,Home & Kitchen
TXN000004,CUST07458,PROD0253,2024-05-31,4,249.76,0.2,799.23,549.48,249.75,0.0,email,bank_transfer,completed,UK,Sports & Outdoors
TXN000005,CUST06099,PROD0206,2023-04-22,2,287.63,0.0,575.26,258.86,316.4,9.3,organic_search,credit_card,completed,USA,Clothing
TXN000006,CUST01713,PROD0162,2023-02-23,1,104.86,0.05,99.62,47.19,52.43,0.0,paid_search,credit_card,completed,Italy,Clothing
TXN000007,CUST00492,PROD0396,2022-07-04,3,35.05,0.05,99.89,47.31,52.58,0.0,paid_search,credit_card,completed,France,Clothing
TXN000008,CUST06127,PROD0499,2023-11-10,1,37.65,0.0,37.65,16.94,20.71,16.9,paid_search,credit_card,completed,Germany,Clothing
TXN000009,CUST01018,PROD0359,2024-07-25,5,63.01,0.05,299.3,173.3,126.0,133.38,organic_search,bank_transfer,completed,Germany,Sports & Outdoors
TXN000010,CUST00036,PROD0416,2023-10-10,1,143.63,0.05,136.45,64.63,71.82,0.0,social_media,paypal,completed,Italy,Clothing
TXN000011,CUST00342,PROD0035,2022-07-30,3,21.27,0.05,60.62,41.49,19.13,0.0,organic_search,debit_card,completed,Germany,Books
TXN000012,CUST04917,PROD0279,2023-12-28,2,208.21,0.0,416.42,187.38,229.04,7.83,paid_search,credit_card,completed,UK,Clothing
TXN000013,CUST01056,PROD0359,2022-02-16,2,63.01,0.0,126.02,69.32,56.7,53.35,paid_search,credit_card,completed,UK,Sports & Outdoors
TXN000014,CUST01593,PROD0120,2024-08-06,1,108.94,0.05,103.49,65.36,38.13,0.9,direct,credit_card,completed,USA,Home & Kitchen
TXN000015,CUST00333,PROD0099,2024-11-05,2,166.0,0.05,315.4,132.8,182.6,0.36,referral,debit_card,completed,USA,Beauty & Health
TXN000016,CUST04240,PROD0121,2023-11-12,1,413.88,0.1,372.49,310.41,62.08,25.65,social_media,credit_card,completed,UK,Electronics
TXN000017,CUST00741,PROD0180,2024-09-26,3,22.39,0.15000000000000002,57.09,36.93,20.16,0.0,organic_search,paypal,completed,Germany,Sports & Outdoors
TXN000018,CUST01713,PROD0130,2022-04-28,2,108.31,0.25,162.46,97.48,64.98,0.0,referral,credit_card,completed,Italy,Clothing
TXN000019,CUST03695,PROD0321,2022-10-10,1,55.81,0.0,55.81,27.91,27.9,21.49,email,credit_card,completed,UK,Toys & Games
TXN000020,CUST00174,PROD0461,2022-12-21,2,30.6,0.1,55.08,39.78,15.3,21.78,paid_search,credit_card,cancelled,USA,Books
TXN000021,CUST03985,PROD0416,2024-05-22,1,143.63,0.05,136.45,64.63,71.82,6.59,email,credit_card,completed,Italy,Clothing
TXN000022,CUST01266,PROD0276,2023-07-14,1,790.5,0.2,632.4,592.88,39.52,0.0,paid_search,apple_pay,completed,USA,Electronics
TXN000023,CUST04792,PROD0004,2023-01-22,2,830.21,0.05,1577.4,1245.32,332.08,24.38,referral,paypal,completed,Australia,Electronics
TXN000024,CUST01830,PROD0066,2022-07-22,4,216.28,0.1,778.61,519.08,259.53,0.0,organic_search,credit_card,completed,USA,Home & Kitchen
TXN000025,CUST06446,PROD0215,2024-07-05,1,245.04,0.1,220.54,134.77,85.77,6.75,email,apple_pay,completed,Germany,Sports & Outdoors
TXN000026,CUST05393,PROD0195,2022-01-30,1,83.69,0.05,79.51,46.03,33.48,23.87,social_media,credit_card,completed,Spain,Sports & Outdoors
TXN000027,CUST04406,PROD0390,2023-01-06,1,794.91,0.0,794.91,596.18,198.73,2.5,paid_search,debit_card,refunded,Canada,Electronics
TXN000028,CUST05073,PROD0084,2022-10-25,1,92.75,0.0,92.75,46.38,46.37,17.28,social_media,credit_card,cancelled,Germany,Toys & Games
TXN000029,CUST07994,PROD0240,2022-06-18,1,50.11,0.1,45.1,32.57,12.53,0.49,organic_search,credit_card,completed,UK,Books
TXN000030,CUST03019,PROD0031,2022-08-07,1,69.18,0.05,65.72,31.13,34.59,0.0,organic_search,credit_card,completed,USA,Clothing
TXN000031,CUST02590,PROD0160,2023-07-25,1,446.81,0.0,446.81,245.75,201.06,11.18,email,credit_card,completed,Canada,Sports & Outdoors
TXN000032,CUST04404,PROD0282,2023-05-07,3,254.3,0.0,762.9,343.29,419.61,72.17,email,credit_card,completed,UK,Clothing
TXN000033,CUST00617,PROD0340,2023-08-23,1,121.87,0.1,109.68,48.75,60.93,0.0,paid_search,debit_card,completed,USA,Beauty & Health
TXN000034,CUST00607,PROD0291,2024-03-30,1,226.81,0.05,215.47,136.09,79.38,0.0,referral,apple_pay,completed,USA,Home & Kitchen
